Tarih,imdi,Açılış,Yüksek,Düşük,Hac.,Fark 
23.06.2022,17.3565,17.3319,17.3952,17.1662,,0.10
22.06.2022,17.3392,17.312,17.3891,17.3014,,-0.02
22.06.2022,17.342,17.3377,17.4097,17.175,,0.17
21.06.2022,17.312,17.3116,17.4374,17.2835,,-0.17
21.06.2022,17.3412,17.3242,17.3726,17.1105,,0.14
20.06.2022,17.3168,17.29,17.3944,17.2689,,-0.10
20.06.2022,17.3345,17.324,17.3737,17.1456,,0.04
17.06.2022,17.3284,17.3029,17.3463,17.2469,,0.02
16.06.2022,17.3255,17.2886,17.3545,17.2455,,0.12
16.06.2022,17.3039,17.2229,17.3239,17.0869,,0.10
15.06.2022,17.2865,17.2396,17.3215,17.2136,,0.26
15.06.2022,17.2422,17.2779,17.3171,17.0688,,0.07
14.06.2022,17.2301,17.22,17.3047,17.1915,,-0.24
14.06.2022,17.2713,17.2587,17.3025,17.0303,,0.28
13.06.2022,17.2226,17.2602,17.2944,17.1905,,-0.24
13.06.2022,17.2639,17.1214,17.2885,16.8333,,0.87
10.06.2022,17.1158,17.235,17.317,16.794,,0.26
09.06.2022,17.0718,17.2272,17.2702,16.8915,,-0.72
09.06.2022,17.1961,17.1273,17.279,16.764,,-0.31
08.06.2022,17.2491,17.1678,17.396,16.7904,,0.58
08.06.2022,17.1504,16.7606,17.2174,16.6878,,-0.05
07.06.2022,17.1582,16.8309,17.1945,16.8035,,2.37
07.06.2022,16.7608,16.5857,16.7971,16.4355,,-0.37
06.06.2022,16.8225,16.5905,16.8464,16.5849,,1.46
06.06.2022,16.5807,16.4231,16.6136,16.2883,,0.99
03.06.2022,16.4176,16.295,16.5445,16.295,,0.03
02.06.2022,16.4126,16.4685,16.5418,16.3373,,-0.33
02.06.2022,16.4672,16.3959,16.5069,16.2551,,0.03
01.06.2022,16.4628,16.3934,16.4921,16.3791,,0.41
01.06.2022,16.395,16.4148,16.4693,16.2294,,0.02
31.05.2022,16.3911,16.3854,16.455,16.3678,,-0.08
31.05.2022,16.4035,16.4081,16.4617,16.2137,,0.10
30.05.2022,16.3875,16.3816,16.4338,16.3386,,0.02
30.05.2022,16.3849,16.2182,16.3993,16.1093,,1.03
27.05.2022,16.218,16.3779,16.4355,16.1923,,0.23
26.05.2022,16.1807,16.3363,16.4019,16.1778,,-1.09
26.05.2022,16.3597,16.3529,16.4719,16.1579,,0.18
25.05.2022,16.331,16.319,16.4645,16.2375,,-0.18
25.05.2022,16.3597,16.074,16.4194,15.9764,,0.25
24.05.2022,16.319,16.0682,16.4105,16.0442,,1.38
24.05.2022,16.0964,15.9261,16.1707,15.816,,0.04
23.05.2022,16.0903,15.9068,16.159,15.9068,,1.00
23.05.2022,15.9316,15.9084,15.975,15.592,,0.18
20.05.2022,15.9037,15.8859,15.9916,15.7736,,0.05
19.05.2022,15.8951,15.874,15.985,15.8369,,0.09
19.05.2022,15.8813,15.9671,16.022,15.839,,0.05
18.05.2022,15.874,15.9371,15.977,15.7955,,-0.46
18.05.2022,15.9471,15.9175,15.998,15.6769,,0.10
17.05.2022,15.9316,15.8491,15.9795,15.7505,,0.21
17.05.2022,15.8983,15.5428,15.917,15.4382,,0.43
16.05.2022,15.8297,15.5648,15.9112,15.5641,,1.80
16.05.2022,15.5493,15.4843,15.67,15.335,,0.45
13.05.2022,15.4798,15.3614,15.4914,15.173,,0.02
12.05.2022,15.4769,15.4004,15.49,15.3993,,0.63
12.05.2022,15.3803,15.3148,15.4254,15.1347,,-0.05
11.05.2022,15.388,15.3085,15.4389,15.253,,0.49
11.05.2022,15.3133,15.2686,15.4002,15.0812,,0.15
10.05.2022,15.2909,15.2928,15.3798,15.258,,0.21
